                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97927,                 3.4646,                 1.3564,                0.60873,                0.89569,                0.88831,                 0.6223,                 1.4116,                 1.3258,                 1.2507,                      0,                      0,                      0
                      2,                 1.3627,                 2.8458,                 1.6623,                0.60095,                0.88634,                0.88791,                0.63471,                 1.4541,                 1.3511,                 1.2632,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.2939,                 3.5815,                 1.6968,                0.53655,                0.84054,                0.83156,                0.59958,                 1.4568,                 1.3791,                 1.2746,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3871,                  3.691,                 1.7283,                0.55457,                0.83333,                0.83139,                 0.5976,                 1.4799,                 1.4157,                 1.2833,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0251,                 2.3312,                 1.2784,                0.57524,                0.83333,                0.83176,                0.59768,                  1.487,                  1.449,                 1.2886,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0408,                 3.1867,                 1.4127,                0.85048,                0.56667,                0.87122,                 0.5694,                 1.4924,                 1.5118,                 1.2992,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2311,                 2.9811,                 1.4695,                0.82255,                0.56667,                0.88624,                0.56739,                 1.4996,                   1.57,                 1.3131,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1636,                 2.5533,                 1.6489,                0.81196,                0.56667,                0.88628,                 0.5654,                 1.5177,                 1.6278,                 1.3308,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.91846,                 1.9505,                 1.3413,                0.80278,                0.58333,                0.77968,                0.55162,                 1.5213,                 1.6743,                 1.3421,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1665,                 2.5569,                 1.5893,                0.77131,                0.58333,                0.77484,                0.54931,                 1.5357,                  1.742,                 1.3506,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0988,                 2.1911,                 1.2767,                 0.7462,                0.58333,                0.76716,                0.53851,                 1.5445,                 1.7859,                 1.3533,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0965,                 2.9908,                 1.4507,                0.73534,                0.58333,                 0.7473,                0.51155,                 1.5448,                 1.8151,                 1.3603,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.90666,                 2.1037,                 1.2778,                0.76643,                0.58333,                0.74722,                 0.5179,                 1.5439,                 1.8397,                 1.3644,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  1.207,                 2.6954,                 1.5712,                0.94862,                0.39212,                0.74717,                0.51803,                 1.5477,                 1.8798,                 1.3672,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.86952,                  1.734,                  1.224,                0.94862,                0.39033,                 0.7472,                0.52614,                 1.5416,                 1.8942,                 1.3633,             1.4351e-05,             1.4351e-05,             1.4351e-05
